DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2/11/2021 00:00:00,3.7,1211,36,13.7,87,917,,,
2/11/2021 00:00:00,3.7,1323,36,13.7,87,917,,,
2/11/2021 00:15:00,3.7,1125,36,13.7,87,917,,,
2/11/2021 00:15:00,3.7,1254,36,13.7,87,917,,,
2/11/2021 00:30:00,3.6,967,36,13.6,87,917,,,
2/11/2021 00:30:00,3.6,1141,36,13.6,87,917,,,
2/11/2021 00:45:00,3.6,809,36,13.6,87,917,,,
2/11/2021 00:45:00,3.6,1028,36,13.6,87,917,,,
2/11/2021 01:00:00,3.4,651,36,13.5,87,917,,,
2/11/2021 01:00:00,3.4,915,36,13.5,87,917,,,
2/11/2021 01:15:00,3.4,548,36,13.5,87,917,,,
2/11/2021 01:15:00,3.4,814,36,13.5,87,917,,,
2/11/2021 01:30:00,3.3,499,35,13.5,87,917,,,
2/11/2021 01:30:00,3.3,727,35,13.5,87,917,,,
2/11/2021 01:45:00,3.3,451,35,13.6,87,917,,,
2/11/2021 01:45:00,3.3,640,35,13.6,87,917,,,
2/11/2021 02:00:00,3.2,402,35,13.6,87,917,,,
2/11/2021 02:00:00,3.2,553,35,13.6,87,917,,,
2/11/2021 02:15:00,3.2,365,35,13.6,87,917,,,
2/11/2021 02:15:00,3.2,486,35,13.6,87,917,,,
2/11/2021 02:30:00,3.1,338,33,13.6,87,917,,,
2/11/2021 02:30:00,3.1,441,33,13.6,87,917,,,
2/11/2021 02:45:00,3.1,312,31,13.6,87,917,,,
2/11/2021 02:45:00,3.1,396,31,13.6,87,917,,,
2/11/2021 03:00:00,3.1,285,29,13.6,87,917,,,
2/11/2021 03:00:00,3.1,351,29,13.6,87,917,,,
2/11/2021 03:15:00,3,250,27,13.6,87,917,,,
2/11/2021 03:15:00,3,299,27,13.6,87,917,,,
2/11/2021 03:30:00,2.9,205,27,13.6,87,917,,,
2/11/2021 03:30:00,2.9,240,27,13.6,87,917,,,
2/11/2021 03:45:00,2.9,161,27,13.5,88,916,,,
2/11/2021 03:45:00,2.9,182,27,13.5,88,916,,,
2/11/2021 04:00:00,2.8,116,26,13.5,88,916,,,
2/11/2021 04:00:00,2.8,123,26,13.5,88,916,,,
